DisGeNET Gene Set,STRING,ConsensusPathDB,HumanNet,Reactome,ReactomeFI,GIANT,InBioMap,GeneMANIA,DIP,MultiNet,HINT,IRefIndex,PathwayCommons,HPRD,BioGRID,Mentha,IntAct,PID,BioPlex,BIND,HumanInteractome
Acquired Immunodeficiency Syndrome,2.800064532,2.104345153,2.123110884,0.790055111,0.768403812,1.188372177,0.805072938,1.20815516,0.770514049,0.518842933,1.124780549,0.85417005,0.643874377,0.597679415,0.823989653,0.809775938,0.81910797,0.387912861,0.219250275,0.249973095,-0.00564764
Acute Coronary Syndrome,3.636558969,2.242013964,1.813393129,1.827918535,1.591090869,1.753978079,1.341613456,1.540945494,0.655588011,0.94790743,1.156556554,1.166116637,1.404517512,0.991869367,0.905719984,1.233078665,0.464891613,0.523451883,0.671923828,0.166513876,-0.003447557
Acute Erythroblastic Leukemia,1.152267531,0.776066226,0.866241656,0.622763143,0.875999695,0.876744365,0.717749129,0.673932959,0.535043948,0.498171265,0.449444901,0.483197789,0.325459176,0.389004718,0.489654117,0.458242667,0.407673997,0.035594103,0.223558622,0.353315964,0.447889502
Acute GVH disease,4.330308702,2.553490236,3.116635459,2.01663505,1.707570918,1.837532049,1.474630236,2.073927416,0.596924971,1.314857898,1.127094356,1.492277196,1.113376071,1.915170606,0.929407618,1.03182713,0.683535431,0.618800603,0.412291413,0.682688443,0.047493055
Acute Megakaryocytic Leukemias,1.269794035,0.63882144,1.003982621,0.943647153,0.629233896,0.956941528,0.520221374,0.464772485,0.803036297,0.604812046,0.350869912,0.42543742,0.50553464,0.443271665,0.545047585,0.34839985,0.518971314,0.057860746,0.447790452,0.466265981,0.091589785
Acute myocardial infarction,2.866818662,2.253680255,1.806331303,1.617017974,1.245993104,0.920798644,1.35780722,1.006622282,0.56119942,0.919464116,0.922118469,1.235395113,1.074050954,1.142620738,0.648085246,0.959437342,0.535708707,0.558161173,0.261512325,0.288487921,0.015579156
Addictive Behavior,1.19573036,0.941291897,1.008284946,1.049761982,0.776527528,0.621349663,0.686822143,0.492732296,0.554742921,0.355114741,0.465226193,0.468325939,0.30920839,0.420436908,0.52052202,0.402139212,0.447893404,0.070223572,0.461622797,0.296374143,0.310497231
Adenocarcinoma Of Esophagus,1.356171898,0.817116425,0.633663788,1.036324196,0.666655602,1.001691856,0.67990069,0.698732459,0.519717089,0.428287755,0.45876255,0.445711559,0.369762371,0.315970065,0.431724018,0.377879286,0.367405267,0.182173014,0.217591909,0.219981691,0.045875716
Adenocarcinoma of colon,1.249559873,1.064721117,0.816001091,0.833838668,0.836010395,0.715855532,0.700864352,0.573218066,0.432342168,0.418805625,0.356179195,0.489663167,0.516421344,0.394984422,0.503510183,0.376616357,0.3582395,0.404253705,0.314455697,0.331618761,0.492134956
Adenocarcinoma of large intestine,1.302558228,0.408849442,0.632319552,0.38643774,0.713392808,0.703894566,0.368472607,0.394774842,0.669243415,0.405860319,0.317569695,0.229916326,0.451349225,0.226790786,0.303394524,0.19855202,0.414806241,0.203381132,0.204980426,0.177358997,0.273593028
Adenocarcinoma of prostate,1.452942797,0.774418885,0.615093313,0.820232286,0.717162058,0.714986062,0.558667592,0.584155508,0.41837327,0.515600411,0.381322965,0.363233402,0.478677327,0.307158144,0.450980474,0.391032901,0.294582126,0.304091922,0.381445922,0.225507127,0.171720705
"Adenocarcinoma, Clear Cell",1.04352764,0.460962336,0.840884208,0.542061589,0.588591182,0.480434927,0.602116373,0.538587172,0.719583309,0.398842815,0.447395234,0.312219832,0.146869004,0.333052924,0.400032594,0.38719825,0.230947309,0.50970125,0.195933254,0.303653321,0.256489139
Adenoma of large intestine,2.071076959,0.653844233,0.791375528,1.624918089,1.145903525,0.661353727,0.76760873,0.449888355,0.68092781,0.783041203,0.502963701,0.489742673,0.859914859,0.471024072,0.369243307,0.435569934,0.471084539,0.422444439,0.272905238,0.272437778,0.007804205
Adenovirus Infections,1.163965042,0.828444328,0.66158189,0.636595881,0.509654862,0.508229097,0.558358004,0.419263726,0.257418688,0.724542126,0.575734751,0.419369446,0.516741696,0.563408758,0.525561544,0.280934231,0.485642963,0.478335666,0.705799886,0.33245576,0.550563492
Adrenocortical carcinoma,1.530323472,1.163211172,0.724756801,0.600173675,0.655947024,0.427975611,0.549121344,0.437534656,0.484244207,0.387340053,0.37679246,0.408043963,0.626403539,0.24662433,0.328227337,0.39507629,0.412082481,0.171202899,0.216181706,0.209382039,0.123810138
Adrenoleukodystrophy,1.704777546,0.89110119,0.82932839,1.516321376,1.457061345,0.38247743,0.454702752,0.501211277,0.562152518,0.556454257,0.49844711,0.450959365,0.984937665,0.478072513,0.223557345,0.302766434,0.261989684,0.518319713,0.189104182,0.472318579,0.083258227
Adult Acute Myeloblastic Leukemia,1.507927954,0.363193201,0.483610439,0.4973958,0.759038057,0.917957573,0.332085583,0.287987286,0.444435994,0.36110645,0.234189569,0.310055371,0.376019216,0.187842683,0.244280655,0.108276905,0.45393697,0.325770321,0.244779976,0.344080525,-0.001491709
Agenesis of corpus callosum,0.932356045,0.560693188,0.607101678,0.649916213,0.5794675,0.404335503,0.497829703,0.582027031,0.426814254,0.212903849,0.228087587,0.282600914,0.284875455,0.405009883,0.284312654,0.218096387,0.375141637,0.584961007,0.833758825,0.262914443,0.374389651
Allergic asthma,4.934562816,2.754819654,3.028759337,1.257295269,1.607360843,1.275549153,1.42109361,1.503659953,1.672661544,1.538667649,1.948816636,1.702700255,1.389261618,1.4087379,1.004822035,1.399895151,0.593729853,0.896873256,0.448744051,0.372819886,0.083440195
Allergic disposition,2.897733102,1.885783385,2.216889514,1.206197678,1.016405485,1.19615106,0.966366335,1.477623954,1.18786814,1.114832469,0.95762082,1.012294774,0.892707397,0.913539121,0.7578446,1.058029557,0.723258685,0.489169287,0.473281808,0.910149694,0.006529182
Allergic rhinitis (disorder),3.977019188,2.332105934,2.011556031,1.171037198,1.371639388,0.949550328,1.425584966,1.673309505,0.911243017,0.69532665,1.379752458,1.182680378,1.09517405,1.001298177,0.479345169,0.80608488,0.633305007,0.730704743,0.228622254,0.438742075,0.018993444
"Alzheimer Disease, Late Onset",2.389433739,0.786667597,0.719502771,0.657829509,0.531273701,0.714100385,0.534436994,0.530211114,0.580070665,0.502435703,0.445171431,0.487552896,0.433599117,0.495726251,0.202589246,0.334837882,0.352723197,0.138848593,0.078063042,0.302899875,-0.025854391
Anaplasia,1.433591387,0.954571054,1.049593499,0.817325614,0.827837619,1.263592,0.796197378,0.693417772,0.376707014,0.429834827,0.435864879,0.563961969,0.421422558,0.416460866,0.415491579,0.469339789,0.463098298,0.412633917,0.131857127,0.289702929,0.238534557
Anaplastic astrocytoma,1.269434252,1.011336071,0.689804843,0.946275027,0.769711981,1.422597739,0.88006062,0.917985226,0.582436941,0.673084323,0.491662966,0.543299569,0.351650718,0.262692486,0.467593625,0.467285126,0.690860362,0.172357472,0.55179285,0.459803905,0.077028663
Anaplastic thyroid carcinoma,1.030799469,1.08948975,0.646008968,0.675206926,0.674239752,0.789625571,0.617246508,0.883077382,0.266947919,0.570987013,0.510221588,0.394596599,0.36777026,0.299081848,0.568616872,0.53436152,0.578482464,0.171663754,0.270041242,0.316393037,0.081548689
"Anemia, Sickle Cell",2.294583991,1.309525315,1.393037258,1.353610189,1.604079812,1.13058169,0.791973682,1.422815523,0.759333627,0.533661594,0.629837923,0.761338347,1.046774496,0.847779477,0.64733462,0.534655194,0.527704996,0.471804277,0.405173402,0.300015604,0.11326438
Aneurysm,3.547182688,3.759817871,1.943338411,1.412696931,1.299349322,2.542378794,2.133088378,1.485903666,0.990188809,1.362504037,1.675031867,2.034168137,1.279367382,1.355149273,1.108556309,1.747490958,1.187826317,0.450004547,0.605457942,0.21037673,0.052398233
Angiogenic Switch,1.511071098,0.736713054,1.125088065,0.635297087,0.765476731,0.924294513,0.734942851,0.803615091,0.548017509,0.762574379,0.700681379,0.64746535,0.495339717,0.622627065,0.541615248,0.772061009,0.279109144,0.872179842,0.603806421,0.402098402,-0.005963007
Ankylosing spondylitis,3.038492988,1.409901997,2.162866036,1.943167236,1.775807589,1.407369378,1.20650346,1.53255781,0.684293178,0.958769362,0.727303253,1.405724411,0.906082206,1.193587731,0.603336445,0.827978681,0.618807684,0.951296311,0.326211548,0.924041884,-0.005879995
"Aortic Aneurysm, Abdominal",2.817676129,2.2946709,1.911780165,1.986121228,1.851802908,2.633649805,1.441273012,1.772644762,0.571930019,1.214972315,1.359615209,1.444403929,1.077126732,1.129126543,1.132822097,1.141591695,0.763107347,0.726231512,0.564397531,0.379123301,0.059540477
Aortic Valve Insufficiency,1.731630328,1.20338984,0.926513188,1.341117872,0.996053158,0.754700177,0.886670802,1.087740406,0.538726182,0.403908192,0.867890384,0.580749509,0.52995302,0.364266468,0.68061766,0.601009105,0.389026108,0.614567062,0.595162437,0.091997702,0.146483284
Aortic Valve Stenosis,1.489738382,1.498594678,1.789338821,2.439049214,1.905611512,0.52931306,0.90720378,0.579753022,0.678095312,0.947221583,0.738011156,1.223468945,0.769260608,1.76582055,1.044346795,1.239695192,0.278651088,0.640205498,0.385588814,0.192591544,0.078232536
Aplasia Cutis Congenita,1.066727817,0.832389954,0.683558666,0.788973277,0.829830388,0.570856313,0.653849667,0.815030538,0.571262031,0.320721316,0.354766811,0.461881264,0.369009882,0.495942503,0.466994665,0.342897059,0.358865706,0.565392947,0.752953452,0.346463915,0.506014833
